Arthropod Taxa	Arthropod Species Scientific Name	Common Name	Tree Host(s)*	Endangered Risk Rating	Reference(s)	referenceCitation
Acari	Aceria chrondriphora Keifer	Ashleaf Gall Mite	Fraxinus	High	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Aceria chrondriphora Keifer	Ashleaf Gall Mite	Fraxinus	High	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Felt (1918)	Felt EP (1918) Key to American insect galls. The University of the State of New York Bulletin, No. 200, Albany
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Ives and Wong (1988)	Ives WGH, Wong HR (1988) Tree and shrub insects of the Prairie Provinces. Canadian Forest Service, Northern Forestry Center, Information Report NOR-X-292
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus americana	High	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Felt (1918)	Felt EP (1918) Key to American insect galls. The University of the State of New York Bulletin, No. 200, Albany
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Ives and Wong (1988)	Ives WGH, Wong HR (1988) Tree and shrub insects of the Prairie Provinces. Canadian Forest Service, Northern Forestry Center, Information Report NOR-X-292
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Acari	Aceria fraxiniflora (Felt)	Ash Flowergall Mite	Fraxinus pennsylvanica	High	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Eriophyes fraxini Garm.		Fraxinus pennsylvanica	High	Felt (1918)	Felt EP (1918) Key to American insect galls. The University of the State of New York Bulletin, No. 200, Albany
Acari	Oligonychus newcomeri (McGregor)		Amelanchier	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Carpinus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Crataegus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Fraxinus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Malus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Prunus avium	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Pyrus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Oligonychus newcomeri (McGregor)		Sorbus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Carya	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Cupressaceous Conifers	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Fraxinus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Platytetranychus thujae (McGregor)	Arborvitae Spider Mite	Juniperus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Acari	Tetranychus homorus Pritchard & Baker		Carya	High-Moderate	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus homorus Pritchard & Baker		Fraxinus	High-Moderate	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Acer	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Cercis	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Fraxinus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Populus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Rhododendron	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Robinia pseudoacacia	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Rosa	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Acari	Tetranychus urticae Koch		Ulmus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Agrilus subcinctus Gory		Fraxinus	High-Moderate	Bright (1987)	Bright DE (1987) The metallic wood-boring beetles of Canada and Alaska, Coleoptera: Buprestidae. The insects and arachnids of Canada, part 15. Biosystematics Research Center, Ottawa
Coleoptera	Agrilus subcinctus Gory		Ligustrum	High-Moderate	Bright (1987)	Bright DE (1987) The metallic wood-boring beetles of Canada and Alaska, Coleoptera: Buprestidae. The insects and arachnids of Canada, part 15. Biosystematics Research Center, Ottawa
Coleoptera	Aegomorphus modestus (Gyllenhall)		Acer	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Acer	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Betula	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Betula	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Carpinus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Carpinus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Carya	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Carya	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Castanea dentata	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Castanea dentata	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Celtis occidentalis	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Celtis occidentalis	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Cornus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Cornus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Fagus grandifolia	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Fagus grandifolia	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Fraxinus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Fraxinus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Liriodendron tulipifera	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Liriodendron tulipifera	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Malus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Malus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Nyssa	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Nyssa	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Ostrya virginiana	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Ostrya virginiana	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Pinus virginiana	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Pinus virginiana	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Prunus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Prunus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Pyrus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Pyrus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Quercus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Quercus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Salix	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Salix	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Ulmus	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Ulmus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Aegomorphus modestus (Gyllenhall)		Tilia americana	Low	Linsley and Chemsak (1984)	Linsley EG, Chemsak JA (1984) The Cerambycidae of North America. Part VII, No. 1. Taxonomy and classification of the subfamily Lamiinae, Tribes Parmenini through Acanthoderini, vol 102. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Aegomorphus modestus (Gyllenhall)		Tilia americana	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Alobates pennsylvanica Deg.		Acer	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Betula	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Carya	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Castanea dentata	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Celtis occidentalis	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Diospyros	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Fraxinus	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Grindelia	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Liriodendron tulipifera	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Alobates pennsylvanica Deg.		Quercus	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Acer	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Acer	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Acer	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Carya (including Carya illinoinensis)	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Carya (including Carya illinoinensis)	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Carya (including Carya illinoinensis)	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Fraxinus	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Fraxinus	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Fraxinus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Gleditsia triacanthos	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Gleditsia triacanthos	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Gleditsia triacanthos	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Juglans cinerea	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Juglans cinerea	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Juglans cinerea	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Maclura pomifera	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Maclura pomifera	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Maclura pomifera	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Malus domestica	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Malus domestica	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Malus domestica	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Prunus (including Prunus armeniaca)	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Prunus (including Prunus armeniaca)	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Prunus (including Prunus armeniaca)	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Pyrus	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Pyrus	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Pyrus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Quercus rubra	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Quercus rubra	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Quercus rubra	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Ulmus parvifolia	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Amphicerus bicaudatus (Say)	Apple Twig Borer	Ulmus parvifolia	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
